01	25-10-2025	00:18:17	'20056313		1
01	25-10-2025	00:19:58	'20055190		1
01	25-10-2025	00:22:11	'20056314		1
01	25-10-2025	00:37:18	'20056403		1
01	25-10-2025	00:45:08	'20056402		1
01	25-10-2025	00:52:21	'20056414		1
01	25-10-2025	05:53:30	'20056517		1
01	25-10-2025	06:00:12	'20056560		1
01	25-10-2025	06:03:37	'20056210		1
01	25-10-2025	06:13:37	'20056003		1
01	25-10-2025	06:33:01	'20053883		1
01	25-10-2025	06:47:04	'20056545		1
01	25-10-2025	06:48:29	'20055667		1
01	25-10-2025	06:50:00	'20056418		1
01	25-10-2025	06:54:08	'20054852		1
01	25-10-2025	06:56:03	'20055708		1
01	25-10-2025	07:01:02	'20055885		1
01	25-10-2025	07:02:41	'20056258		1
01	25-10-2025	07:07:00	'20055219		1
01	25-10-2025	07:09:29	'20054932		1
01	25-10-2025	07:12:27	'20054665		1
01	25-10-2025	07:12:42	'20056345		1
01	25-10-2025	07:12:47	'20051185		1
01	25-10-2025	07:12:50	'20056389		1
01	25-10-2025	07:13:02	'20056580		1
01	25-10-2025	07:14:24	'20056124		1
01	25-10-2025	07:15:15	'20054929		1
01	25-10-2025	07:15:18	'20056388		1
01	25-10-2025	07:17:55	'20055964		1
01	25-10-2025	07:19:42	'20053707		1
01	25-10-2025	07:20:14	'20056043		1
01	25-10-2025	07:21:10	'20056445		1
01	25-10-2025	07:23:17	'20055824		1
01	25-10-2025	07:23:22	'20055486		1
01	25-10-2025	07:24:17	'20054092		1
01	25-10-2025	07:24:37	'20056493		1
01	25-10-2025	07:26:16	'20056522		1
01	25-10-2025	07:27:53	'20052460		1
01	25-10-2025	07:28:30	'20052609		1
01	25-10-2025	07:28:43	'20054438		1
01	25-10-2025	07:28:52	'20056250		1
01	25-10-2025	07:29:18	'20056287		1
01	25-10-2025	07:30:39	'20056299		1
01	25-10-2025	07:31:08	'20053773		1
01	25-10-2025	07:31:22	'20055300		1
01	25-10-2025	07:31:29	'20053751		1
01	25-10-2025	07:32:27	'20054604		1
01	25-10-2025	07:32:31	'20054502		1
01	25-10-2025	07:32:58	'20053679		1
01	25-10-2025	07:33:05	'20056434		1
01	25-10-2025	07:33:38	'20052403		1
01	25-10-2025	07:33:49	'20056387		1
01	25-10-2025	07:33:52	'20056534		1
01	25-10-2025	07:34:23	'20055407		1
01	25-10-2025	07:34:27	'20052978		1
01	25-10-2025	07:34:30	'20056232		1
01	25-10-2025	07:35:44	'20055886		1
01	25-10-2025	07:36:29	'20054874		1
01	25-10-2025	07:37:21	'20055857		1
01	25-10-2025	07:37:39	'20056349		1
01	25-10-2025	07:39:10	'20054920		1
